"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Ciliated_UK_72hpi_child_Infected-Ciliated_UK_72hpi_adult_Infected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000139644",0.000714843690993068,0,2,2,-0.183311421224238,1,1
"ENSG00000114670",0.00143926004758607,1,8,0,0.183113610321069,1,1
"ENSG00000182165",7.12747908898486e-21,1.37918689804593e-07,5,1,0.182458507651904,1,1
"ENSG00000134882",2.27320031102776e-05,0.00248817369855733,5,1,-0.18146301338814,1,1
"ENSG00000012061",0.0139704399073685,0.100199470967802,8,0,-0.181235338861759,1,1
"ENSG00000171700",0.0203731431564576,1,4,0,0.180556567069209,1,1
"ENSG00000123684",0.0463550188357783,0,2,2,-0.180220908223989,1,1
"ENSG00000113163",0.000447360948675523,0.0421841662266151,5,1,-0.179743393794782,1,1
"ENSG00000148735",1.46649258091084e-08,0.0219768460647608,8,1,-0.178822369644792,1,1
"ENSG00000065054",4.30911225677582e-06,0.114229851621214,8,0,0.178299336782504,1,1
"ENSG00000177479",0.00165291393901431,1,8,0,0.177061822017874,1,1
"ENSG00000114779",0.00394172492980838,0.314392686330442,5,0,0.176984194079503,1,1
"ENSG00000100225",0.00288579499068701,1,7,0,0.17668857379899,1,1
"ENSG00000162174",0.0005232566071045,1,7,0,0.176268325119434,1,1
"ENSG00000179526",3.84357662552928e-09,0.292510788914641,5,0,-0.176188420373007,1,1
"ENSG00000172171",0.0182069344201267,1,5,0,-0.175965712770614,1,1
"ENSG00000112701",1.28152004509124e-08,1,5,0,0.175913394322639,1,1
"ENSG00000133318",3.37684165173008e-07,1,4,0,0.174784470491634,1,1
"ENSG00000137575",4.28707897351518e-16,1,5,0,0.174698839736822,1,1
"ENSG00000101150",1.28898073524393e-06,1,5,0,-0.174418603665514,1,1
"ENSG00000160124",0.000131312853670367,1,6,0,0.173797501650759,1,1
"ENSG00000104881",1.96540744641417e-05,0.377694944382554,5,0,-0.173056432495411,1,1
"ENSG00000153406",0.000169762438951653,0.0423783864904782,5,1,-0.172671938587412,1,1
"ENSG00000250722",1.92113736926355e-17,1,4,0,0.172457498897639,1,1
"ENSG00000133835",2.9139301797832e-07,1,7,0,-0.171300005622696,1,1
"ENSG00000204711",9.06039260477871e-06,0.0463129118526655,6,1,0.17104383119727,1,1
"ENSG00000168066",9.83155218248204e-09,0.00375196280165685,4,1,0.170710744927985,1,1
"ENSG00000136243",0.0161765967212609,0.536022664430603,4,0,0.170690905750527,1,1
"ENSG00000101347",4.88375862040988e-12,1,9,0,-0.170418444469947,1,1
"ENSG00000165671",1.50864404201732e-05,0.865450767303785,9,0,0.170212502902169,1,1
"ENSG00000136810",2.2465528532002e-248,1,4,0,-0.170000430274244,1,1
"ENSG00000166971",0.00993577209120811,1,6,0,0.169824552299768,1,1
"ENSG00000088682",1.59640260971468e-05,2.17421276204995e-06,4,1,0.16981020968233,1,1
"ENSG00000177200",1.95014549429224e-15,0.0362633434232631,10,1,0.169454194755746,1,1
"ENSG00000108771",0.0125814666490814,1,7,0,-0.169014300717888,1,1
"ENSG00000253710",8.96083541293075e-07,1,5,0,0.168830902046646,1,1
"ENSG00000163597",9.27372588254789e-10,0.00157860014780645,5,1,-0.168607857157956,1,1
"ENSG00000272398",6.08057424920817e-29,1,6,0,0.168543219135862,1,1
