"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Basal_UK_72hpi_child_Infected-Basal_UK_72hpi_adult_Infected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000156171",7.623729115867e-12,0.00478888271322322,5,1,-0.618162816555042,1,1
"ENSG00000115267",2.58859841980134e-32,1,6,0,0.617061723660069,1,1
"ENSG00000103197",0.00174460650099846,0.00085421770943834,3,1,0.616499404798713,1,1
"ENSG00000141699",0.00637060679967676,0.0937944688589338,3,0,-0.616063880926875,1,0.833333333333333
"ENSG00000121579",1.70327838481085e-08,0.000836003540326854,3,1,-0.615864251140342,1,1
"ENSG00000075151",7.65572916091477e-18,1,6,0,-0.614763031147155,1,1
"ENSG00000172890",8.0571061560607e-10,1,6,0,0.614668973580946,1,0.666666666666667
"ENSG00000115540",1.41215869795555e-10,1,3,0,0.613553398828401,1,1
"ENSG00000143549",7.45706192217819e-68,1,7,0,-0.613445013654389,1,1
"ENSG00000129667",3.00470510928915e-07,1,6,0,0.611111085012914,1,0.833333333333333
"ENSG00000159625",0.0112570111641475,1,4,0,0.610626249792303,1,0.666666666666667
"ENSG00000169567",1.52964617533372e-37,2.65266248869229e-11,5,1,0.610256410285797,1,1
"ENSG00000128510",1.28088888619124e-15,1,5,0,-0.607989692044793,1,1
"ENSG00000156675",0.00367679993974604,1,3,0,0.605176389072771,1,0.833333333333333
"ENSG00000152894",1.80909210594362e-08,1,4,0,0.605123550346003,1,0.833333333333333
"ENSG00000115170",9.37203894136447e-05,0.121127555945632,5,0,0.604003562487618,1,0.833333333333333
"ENSG00000172831",2.28200552407888e-13,1.51884105221332e-06,4,1,-0.603710250526643,1,1
"ENSG00000250479",0.0114841098506129,0.309728673727693,3,0,0.603517664543063,1,1
"ENSG00000048649",3.9629439883518e-21,1,6,0,0.60344820632915,1,0.666666666666667
"ENSG00000073578",2.14157918401296e-74,1,6,0,0.601265760716704,1,1
"ENSG00000257727",1.49748582009685e-116,1,5,0,-0.601024894307072,1,1
"ENSG00000110851",0.0222404377225824,0.75769413582514,3,0,-0.600000000000002,1,0.833333333333333
"ENSG00000139597",0.0262142020204621,1,5,0,-0.599997264445834,0.833333333333333,0.666666666666667
"ENSG00000198589",1.25780157222123e-05,1,5,0,-0.59998437906948,1,0.833333333333333
"ENSG00000159216",3.31458584545554e-10,1,6,0,0.59946611279785,1,1
"ENSG00000266412",1.89173323370917e-47,1,9,0,-0.599082905134151,1,1
"ENSG00000137500",7.06734644664158e-21,0.00313926293754456,8,1,0.59809618641211,1,1
"ENSG00000104980",0.000748337872199831,1,3,0,-0.597468864628107,1,0.833333333333333
"ENSG00000139620",0.0003288862217776,0.319021536062706,4,0,-0.597241737892233,1,0.833333333333333
"ENSG00000141736",0.00974149135214809,1,3,0,0.595919932172454,0.833333333333333,0.666666666666667
"ENSG00000006747",1.57919326522024e-06,1,6,0,0.59590895902809,1,0.5
"ENSG00000135535",5.55552295834121e-86,1,6,0,0.593834939563013,1,1
"ENSG00000122678",3.2734147490476e-05,1,7,0,-0.593134525703906,1,0.5
"ENSG00000065911",0.0104128906304423,1,3,0,0.592692819407106,0.833333333333333,0.833333333333333
"ENSG00000135218",0.0454264748099547,0.0125298177698182,3,1,-0.592681999017094,1,1
"ENSG00000108582",0.00025929253359725,1,3,0,0.592657278229822,0.833333333333333,0.833333333333333
"ENSG00000165804",3.67229786341091e-09,1,8,0,-0.592589596517379,1,1
"ENSG00000120533",1.6882031556041e-101,1,7,0,-0.592258880261158,1,1
"ENSG00000153250",1.40630724745233e-11,1,7,0,0.59090774735994,1,1
"ENSG00000088836",1.71767883971659e-13,0.74187334335139,8,0,0.590880161950757,1,0.833333333333333
"ENSG00000157778",1.22296523798355e-42,1,7,0,-0.590286205009912,1,1
"ENSG00000164733",5.00497672331908e-75,5.58370345647598e-26,5,1,-0.589811622399735,1,1
"ENSG00000239213",0.00159202505089031,0.358499507648565,4,0,0.58898638235568,1,1
"ENSG00000198466",0.006057204316787,0.00249913621154824,3,2,0.587811806986001,1,1
"ENSG00000172687",0.00429776364952925,0.00080473556509148,3,2,0.587386578263897,1,1
"ENSG00000073921",4.23402596292624e-06,1,4,0,-0.586293954295376,1,1
"ENSG00000088930",7.623729115867e-12,0.333873982988416,3,0,0.586103122457328,1,1
"ENSG00000172037",6.19814726357401e-26,4.78373421468677e-10,4,1,0.585987807501496,1,0.833333333333333
"ENSG00000140526",5.75038694549181e-09,0.352239845148869,3,0,0.585901157784285,1,1
"ENSG00000013374",1.53903665897682e-10,0.0204570803861883,4,1,0.585446254963003,1,1
"ENSG00000106105",7.39260639524349e-13,1,6,0,-0.585410758774912,1,1
"ENSG00000166526",0.0280826352087988,1,4,0,0.585321976059304,0.833333333333333,0.666666666666667
"ENSG00000121067",4.23976863485478e-31,2.9223736684074e-05,11,1,0.585279199543678,1,1
"ENSG00000179387",0.00211297729754789,0.00514856920366642,3,1,-0.58492284029079,1,1
"ENSG00000134574",4.78397540691706e-21,0.00559222840997358,8,1,-0.584415451623671,1,1
"ENSG00000114019",1.12423723403533e-05,0.0250064887391916,4,1,-0.584411207327922,1,1
"ENSG00000008283",0.00793284433377592,1,5,0,0.581177182002956,1,0.666666666666667
"ENSG00000119431",1.96015246295707e-17,0.00822051789573814,4,1,0.580814508541268,1,1
"ENSG00000184432",1.2464398854576e-16,9.57885058503336e-05,5,1,-0.580624005543467,1,1
"ENSG00000163634",2.45675044563368e-23,2.49626906709429e-13,4,1,-0.580310754443152,1,1
"ENSG00000101199",0.000750288678073859,1,3,0,-0.579981949433943,1,1
"ENSG00000067113",0.00102255770231209,0.000983337106170717,4,1,-0.579627505761636,1,1
"ENSG00000260916",4.3316039551138e-12,2.33122094117435e-13,3,2,0.579382171331298,1,1
"ENSG00000163527",1.01545547727441e-05,0.00936800973983779,4,1,0.578727892047424,1,1
"ENSG00000101782",6.94941611427832e-28,0.00063880907025493,5,1,0.578645947647693,1,1
"ENSG00000198496",0.0093650261213749,0.478694284184829,3,0,0.577216601226296,1,0.833333333333333
"ENSG00000131203",7.23842048186037e-21,0,2,2,-0.577117069106449,1,1
"ENSG00000141385",1.27374642062351e-08,0.0922758947298674,3,0,0.576502770561353,1,1
"ENSG00000184007",1.38808720196225e-21,0.0544051018858026,5,0,0.576048687032211,1,1
"ENSG00000143398",4.8249994524849e-14,0.0119226272755464,5,1,0.575648352327991,1,1
"ENSG00000129151",0.01956051693874,0.00539748162898693,4,1,0.575208290208275,1,1
"ENSG00000155621",5.7161086943427e-14,1,6,0,-0.574434302999533,1,1
"ENSG00000139613",0.00202619199825565,1,3,0,0.574362045894425,1,1
"ENSG00000143633",5.58102702886178e-13,6.96002595401178e-10,4,1,-0.573875778835646,1,1
"ENSG00000160993",9.49921789088917e-06,0.000979441811631436,4,1,0.573515849392847,1,1
"ENSG00000258289",3.68255709252882e-11,1.35735457841517e-12,4,3,-0.572848982941543,1,1
"ENSG00000119922",3.54308612993973e-34,0,2,2,-0.571708367981389,1,1
"ENSG00000164056",3.27303793915759e-06,1,5,0,-0.571426764153128,1,0.833333333333333
"ENSG00000106615",6.1009416548362e-08,0.00731515500678364,3,1,-0.571356569881999,1,1
"ENSG00000100413",7.35145111769864e-05,0.00159969688900832,4,1,0.571234878023994,1,1
"ENSG00000142627",5.4883056010644e-27,1,5,0,-0.570818343964881,1,1
"ENSG00000196576",8.51390950283032e-17,0.000391596766612201,6,1,-0.569599679721172,1,0.666666666666667
"ENSG00000186960",3.33388524375199e-06,0.399409269285219,5,0,0.567687795831767,1,1
"ENSG00000085224",1.57685651812976e-14,1,6,0,0.566741847236048,1,1
"ENSG00000145495",2.52646664922566e-05,1,6,0,-0.566582231521443,1,1
"ENSG00000016602",7.24626106025053e-07,0.0646384601563686,4,0,-0.565337776574758,1,1
"ENSG00000177030",1.50557057370031e-12,6.62102475195536e-06,7,1,-0.563714868355485,1,1
"ENSG00000135838",2.35910927826786e-08,1,8,0,0.563611800339917,1,0.666666666666667
"ENSG00000203667",1.39244322601284e-07,0.000174895052185403,4,1,-0.562834848692319,1,1
"ENSG00000167900",8.54067254592917e-08,8.97141463345181e-06,4,1,-0.561184194624493,1,1
"ENSG00000240682",2.37181477645415e-10,1,6,0,0.560603196085059,1,0.5
