"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Goblet_UK_72hpi_adult_Infected-Goblet_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000196344",2.30760545470896e-07,1,8,0,-0.189989077772684,1,1
"ENSG00000161203",8.51389430447693e-11,1,3,0,0.189979069879528,1,1
"ENSG00000090621",0.0474467699949984,1,11,0,0.17929876862319,1,1
"ENSG00000116209",1.06409090673484e-06,1,5,0,-0.177473187919128,1,1
"ENSG00000182670",0.0132759029712524,1,7,0,0.176564497203173,1,1
"ENSG00000113712",9.33546246567561e-05,1,17,0,-0.175438597241998,1,1
"ENSG00000175183",0.0246517528084886,1,4,0,0.17531677430064,1,1
"ENSG00000114686",0.00456882819638605,1,8,0,0.174293802354178,1,1
"ENSG00000163584",0.000237993422411871,1,4,0,0.173841872823136,1,1
"ENSG00000053371",0.000420123751223419,1,3,0,0.172285666916754,1,1
"ENSG00000169714",0.00167826965764781,1,8,0,-0.16617120477039,1,1
"ENSG00000101608",1.25631766852073e-07,1,4,0,-0.161935963830516,1,1
"ENSG00000169738",0.000255213959964019,1,7,0,0.161289838292017,1,1
"ENSG00000213719",4.64572791917748e-23,1,6,0,-0.161084983127438,1,1
"ENSG00000143420",8.5038854394157e-05,1,8,0,-0.159499439294954,1,1
"ENSG00000161547",0.0216058269115476,1,5,0,0.159117795080958,1,1
"ENSG00000130511",0.00111215564118089,1,13,0,0.157894488541603,1,1
"ENSG00000177989",1.93763509377602e-08,1,22,0,-0.156993776936356,1,1
"ENSG00000168288",0.0156868084560424,1,3,0,0.155973784062609,1,1
"ENSG00000149932",0.000123829927291057,1,5,0,-0.153243160951787,1,1
"ENSG00000272398",0.00391882336494843,1,7,0,0.150821067543603,1,1
"ENSG00000127184",0.000265175273531237,1,3,0,-0.149621661023134,1,1
"ENSG00000117984",0.00036386775711785,1,4,0,0.145465222001434,1,1
"ENSG00000085063",0.000215341118640877,1,7,0,0.145119604537029,1,1
"ENSG00000120992",0.016735163577278,1,9,0,0.143601804927874,1,1
"ENSG00000117525",7.55820256095003e-05,1,5,0,-0.141188986469183,1,1
"ENSG00000115484",0.00472646967844861,1,5,0,0.137931038263532,1,1
"ENSG00000144713",1.17759072418767e-19,0,2,2,-0.134281415128349,1,1
"ENSG00000112514",0.0127029395439471,1,6,0,-0.13043461157829,1,1
"ENSG00000104904",6.28085379351718e-10,1,8,0,-0.129580694252161,1,1
"ENSG00000173418",0.010141281338472,1,6,0,-0.129559308385487,1,1
"ENSG00000166136",0.0027077692857721,1,4,0,0.126906533207731,1,1
"ENSG00000108654",0.00166272268846764,1,6,0,0.122217582612235,1,1
"ENSG00000185043",0.0193877704538969,0,2,2,-0.12124362733058,1,1
"ENSG00000198074",0.000320299467542353,1,5,0,-0.116175834205439,1,1
"ENSG00000116044",0.000507015566639637,1,9,0,0.110638836538084,1,1
"ENSG00000106541",0.000232238126472386,1,3,0,-0.103330454647031,1,1
"ENSG00000241343",0.00148675050183839,0,2,2,0.101431285048966,1,1
"ENSG00000143819",3.65101969395608e-07,1,4,0,0.0992411711459541,1,1
"ENSG00000142973",0.0127029395439471,1,5,0,-0.0980651696767933,1,1
"ENSG00000167779",0.0474467699949984,1,4,0,0.0942642162987959,1,1
"ENSG00000160188",0.0203112408448235,1,4,0,-0.0941280100904767,1,1
"ENSG00000175416",0.000121545211532087,1,4,0,0.0931220618839566,1,1
"ENSG00000126457",0.045616521730216,1,4,0,-0.091666948877211,1,1
"ENSG00000169223",0.0342481726780332,1,3,0,0.0817250832927216,1,1
"ENSG00000075415",6.63799649774467e-11,1,4,0,-0.0772912240508125,1,1
"ENSG00000142765",0.00501562098905202,1,6,0,0.0770913515151216,1,1
"ENSG00000135821",0.0036146307289482,1,6,0,-0.0701436254500755,1,1
"ENSG00000134333",0.00847778426974068,1,3,0,0.0628693259971995,1,1
"ENSG00000118680",3.27600963095976e-08,1,3,0,-0.0551882824696386,1,1
"ENSG00000174021",0.0416539620261772,0,2,2,0.0507684582008319,1,1
"ENSG00000159713",0.00107100761639426,1,4,0,0.0459116172038019,1,1
"ENSG00000008394",0.00317117913632553,1,3,0,-0.0370143987383796,1,1
"ENSG00000108298",0.0326027285499017,0,2,2,0.0286758241251799,1,1
