"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Secretory_VIC01_72hpi_child_Infected-Secretory_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000114735",0.0026794737026642,0.627268180851139,3,0,-0.833672813353329,1,0.666666666666667
"ENSG00000167272",3.55100196222799e-22,0.702310781124523,4,0,0.832844486629559,1,0.666666666666667
"ENSG00000126106",9.54202678090021e-08,1,4,0,-0.831628946630722,1,0.5
"ENSG00000171206",3.43089809305131e-13,1,4,0,0.830935465397729,1,0.833333333333333
"ENSG00000181588",2.85762175043383e-07,1,4,0,-0.829710058159449,0.833333333333333,0.5
"ENSG00000137274",2.08493611520403e-18,0.00156954781324413,5,1,0.82758505139439,1,0.833333333333333
"ENSG00000105948",9.89834821261667e-05,1,3,0,0.82584770525781,1,0.666666666666667
"ENSG00000258818",1.19668046466425e-05,1,3,0,0.825224937141959,1,0.833333333333333
"ENSG00000136436",3.39659724952774e-05,0.00684892755949043,4,1,0.824330008381698,0.833333333333333,0.666666666666667
"ENSG00000175575",1.6342248726988e-14,0.00547787945231654,5,1,0.821586671474686,1,0.833333333333333
"ENSG00000120256",9.24468636698786e-42,1,3,0,0.820423740134679,1,1
"ENSG00000089022",3.41608140158029e-05,1,3,0,0.820246335923832,1,0.666666666666667
"ENSG00000146574",6.56282454172324e-08,0.159973712049838,3,0,0.820102989593398,1,0.833333333333333
"ENSG00000158023",3.03347423831718e-06,0.215117307668887,5,0,0.816332684554518,1,0.5
"ENSG00000235106",6.34568461170976e-07,1,4,0,-0.810462936516823,1,0.5
"ENSG00000196754",9.46695730187327e-276,1.71708664610856e-251,4,1,0.810153799562099,1,1
"ENSG00000163166",2.88892183970452e-09,0.482354250089274,3,0,0.809280660426996,1,0.833333333333333
"ENSG00000130363",2.43218904014393e-05,1,3,0,-0.809272399131817,1,0.666666666666667
"ENSG00000127334",6.02423207791666e-05,1,3,0,0.808009362454466,0.833333333333333,0.666666666666667
"ENSG00000130560",1.82242145578953e-33,1,5,0,0.807290546172273,1,1
"ENSG00000059122",2.75030200680901e-07,1,3,0,-0.804916702636928,1,0.833333333333333
"ENSG00000100271",0.000795689318915778,1,3,0,0.802383957286299,0.833333333333333,0.5
"ENSG00000196505",0.000190916626331955,1,3,0,-0.801689580279107,1,0.5
"ENSG00000174748",7.57356584149861e-275,3.91639141394179e-70,4,2,-0.800282721991914,1,1
"ENSG00000108883",0.000351200423610413,1,3,0,-0.797395317319586,0.833333333333333,0.666666666666667
"ENSG00000267080",0.0111134887832563,1,5,0,0.796279676730461,0.833333333333333,0.5
"ENSG00000090447",0.000151191719939539,0.918689190406375,3,0,0.793129822719934,1,0.666666666666667
"ENSG00000154813",2.53001548569246e-13,1.68947815694251e-07,3,1,-0.792972093233853,1,0.833333333333333
"ENSG00000109790",7.66373945635568e-07,1,5,0,-0.792468335464971,1,0.666666666666667
"ENSG00000166508",9.67008790069332e-13,1,4,0,0.792467808967153,1,0.833333333333333
"ENSG00000166411",0.000170842525954566,1,4,0,-0.792231925330817,1,0.666666666666667
"ENSG00000180104",1.55886229031535e-10,1,3,0,-0.792156625120142,1,0.833333333333333
"ENSG00000109323",4.3775598437464e-05,1,3,0,0.791977139214544,0.833333333333333,0.5
"ENSG00000168488",3.50019094970986e-09,1,6,0,0.79166666662836,1,0.5
"ENSG00000172345",0.000488087945484313,1,3,0,0.7905498482354,1,0.5
"ENSG00000093010",1.10831324514168e-31,2.9750546921708e-09,7,1,-0.790261002614262,1,1
"ENSG00000170571",9.92752623899349e-10,0.0412785475024907,4,1,0.786233654522037,1,0.666666666666667
"ENSG00000127580",0.00133268769597676,1,3,0,-0.786023001983466,1,0.666666666666667
"ENSG00000183751",6.66338331203618e-10,0.741218965420954,3,0,0.783780803923256,1,0.833333333333333
"ENSG00000176920",1.0600361171696e-12,3.68600976792701e-05,4,2,-0.783132187005468,1,0.833333333333333
"ENSG00000164171",0.000185795954597817,1,3,0,-0.776905844309113,1,0.5
"ENSG00000198718",6.23782488337249e-05,1,4,0,-0.775207062053039,0.833333333333333,0.5
"ENSG00000170017",1.82092368092829e-09,0.109677174161407,5,0,-0.77393092601291,1,0.833333333333333
"ENSG00000145349",0.000317569348520525,1,3,0,-0.773600829590447,1,0.666666666666667
"ENSG00000170425",5.99745294458778e-10,0.896775826677242,3,0,-0.772866389920444,1,0.833333333333333
"ENSG00000148225",0.00581351300444776,1,3,0,0.771026489623056,0.833333333333333,0.5
"ENSG00000151929",3.27349792780781e-07,3.75007793193815e-06,4,1,0.766731623110958,1,0.833333333333333
"ENSG00000188659",0.00065306486722931,0.000389772270234477,4,1,0.765860656870839,1,0.666666666666667
"ENSG00000266412",3.83787430958587e-50,1,6,0,0.765187126435954,1,0.833333333333333
"ENSG00000028203",1.8343075808568e-05,1,6,0,0.764959778559326,1,0.666666666666667
"ENSG00000138303",1.47146359205283e-06,0.79501651109356,6,0,-0.764705882352941,1,0.666666666666667
"ENSG00000137500",4.57867481046957e-21,0.00100259524632526,7,1,0.760988184553923,1,0.833333333333333
"ENSG00000142208",9.43544833149206e-07,0.772217360335948,4,0,0.760288379584179,1,1
"ENSG00000162852",0.000769280753971044,0.00185148792352561,3,1,-0.75938859632681,0.833333333333333,0.5
"ENSG00000136068",9.31089150015382e-06,0.967766032868203,3,0,0.756915927517132,1,0.666666666666667
"ENSG00000197620",0.012200266047341,1,3,0,-0.755788692805447,0.833333333333333,0.5
"ENSG00000104979",2.71105456952201e-05,0.112382193673667,4,0,0.752782163741427,0.833333333333333,0.833333333333333
"ENSG00000137692",4.76942842462337e-45,1,6,0,-0.752703672167753,1,1
"ENSG00000138777",1.4081815530396e-24,8.94644304216377e-22,6,3,0.749999742513188,1,0.833333333333333
"ENSG00000100364",2.08354475757453e-06,0.0788015945546936,3,0,0.749928183801625,1,0.833333333333333
"ENSG00000177427",2.60078973588245e-05,0.000387552974326268,3,1,-0.748138621830482,1,0.666666666666667
