"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Goblet_UK_72hpi_child_Infected-Goblet_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000171314",9.84886235274725e-05,1,3,0,-0.233140872606002,1,1
"ENSG00000143870",9.53660194701306e-05,1,5,0,0.22752177906638,1,1
"ENSG00000137818",2.34099342893584e-05,1.04180817692181e-05,3,2,0.225681073111492,1,1
"ENSG00000189403",7.86827168351133e-13,1,8,0,-0.225086911965276,1,1
"ENSG00000128309",0.00169950168331279,1,5,0,0.223876127521175,1,1
"ENSG00000114942",1.16697281585154e-15,2.31956449141098e-11,3,1,0.222895407849935,1,1
"ENSG00000198355",0.0262953850915516,1,8,0,0.221458331054881,1,1
"ENSG00000104964",1.27864923893644e-08,1,7,0,0.220910455209959,1,1
"ENSG00000185043",0.0260042671134687,0.0462141354861159,4,1,-0.21667603608708,1,1
"ENSG00000161203",3.0793923353897e-06,1,6,0,0.210831645934431,1,1
"ENSG00000115875",3.94367496870025e-07,1,7,0,-0.207614763453717,1,1
"ENSG00000116754",5.29501856368421e-05,1,10,0,0.200110787484868,1,1
"ENSG00000135535",0.0325846247611521,1,9,0,-0.195155889624286,1,1
"ENSG00000109971",0.00018153956977692,0.0118561474705873,5,1,-0.195118299195617,1,1
"ENSG00000115641",0.00449608430977157,1,8,0,0.194846472772729,1,1
"ENSG00000137309",0.018907624962147,1,7,0,-0.192885347888215,1,1
"ENSG00000234745",0.000270627087415216,1,3,0,0.18358596702946,1,1
"ENSG00000120885",0.0489485909222244,1,8,0,-0.182284024287778,1,1
"ENSG00000119655",0.00342894685645277,0,2,2,0.163767444320414,1,1
"ENSG00000118816",4.06849189037626e-05,1,4,0,0.1629266345779,1,1
"ENSG00000160188",1.44199753909179e-06,1,5,0,-0.15818169507199,1,1
"ENSG00000143819",0.000751145944141216,1,5,0,-0.157783592952556,1,1
"ENSG00000163739",0.0154602568565964,1,4,0,-0.155793318276503,1,1
"ENSG00000131495",0.00013482530861126,1,4,0,0.151517932141185,1,1
"ENSG00000090621",0.0259955548001054,1,8,0,-0.150152247039532,1,1
"ENSG00000230937",2.28973798074108e-05,1,10,0,-0.149802843019054,1,1
"ENSG00000147123",0.000105901934828921,1,5,0,0.147926998365288,1,1
"ENSG00000117525",7.78419915391256e-07,1,4,0,0.141836167010861,1,1
"ENSG00000104904",0.0437865556320444,1,4,0,-0.134937415887873,1,1
"ENSG00000060138",0.00185798537711765,1,6,0,0.134880581687411,1,1
"ENSG00000008282",0.0163244394558002,1,6,0,-0.129930038821165,1,1
"ENSG00000175334",1.16360824795982e-05,1,7,0,0.128259184144036,1,1
"ENSG00000138326",1.54938635894284e-19,1,4,0,-0.128053371948746,1,1
"ENSG00000198074",0.0190223321292427,1,5,0,0.106750469687452,1,1
"ENSG00000130429",0.0236814035963975,1,5,0,-0.105839186826129,1,1
"ENSG00000135486",0.0117857572912406,1,7,0,-0.094818434097469,1,1
"ENSG00000118680",0.0240286139525839,1,3,0,0.0913277317584494,1,1
"ENSG00000148180",0.00499088084081819,1,7,0,0.0864496079432168,1,1
"ENSG00000161798",0.0123548667857258,0,2,2,0.0836658265223115,1,1
"ENSG00000087460",0.00118106226127131,1,13,0,-0.066934631477967,1,1
"ENSG00000166165",0.0139389859821787,1,3,0,0.066468302139111,1,1
"ENSG00000154723",0.0489895940021072,1,9,0,0.0644295277400546,1,1
"ENSG00000106211",1.18306623718921e-12,1,4,0,0.0636202798148467,1,1
"ENSG00000188229",0.00107992447743138,1,4,0,-0.0543116303249883,1,1
"ENSG00000187514",0.0240286139525839,1,3,0,0.0516228788102767,1,1
"ENSG00000144713",6.34896315240351e-06,0,2,2,-0.0468778433452064,1,1
