"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Basal_UK_72hpi_child_Infected-Basal_uninfected_child_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000110492"	"ENSG00000110492"	1.15153388114369e-11	0.0179301554371415	6	1	0.327732240513539	1	1
"ENSG00000184887"	"ENSG00000184887"	0.00150747177834939	0.0186827782036367	3	1	-0.820680369016802	1	0.666666666666667
"ENSG00000121310"	"ENSG00000121310"	0.00429877985659419	0.0201243071561497	8	1	-0.288419490013326	1	1
"ENSG00000177917"	"ENSG00000177917"	0.0487859216754805	0.020177890302112	5	1	-0.511261741070257	1	1
"ENSG00000124795"	"ENSG00000124795"	0.0342166989189589	0.0203479671484035	3	1	-0.61326763451189	1	0.833333333333333
"ENSG00000067082"	"ENSG00000067082"	0.000103472826318007	0.0204520586098473	3	1	0.508444172648893	1	1
"ENSG00000166869"	"ENSG00000166869"	0.0338588634312852	0.0207114229468533	4	1	-0.477419553941502	1	1
"ENSG00000006118"	"ENSG00000006118"	0.000686007524692882	0.021906037059303	3	1	-0.500559276978707	1	0.833333333333333
"ENSG00000106348"	"ENSG00000106348"	0.0244440227934659	0.0233580077637471	4	1	-0.691175157981073	0.833333333333333	0.666666666666667
"ENSG00000147274"	"ENSG00000147274"	0.0206893666678706	0.023414493723721	3	1	-0.404826745837909	1	1
"ENSG00000068120"	"ENSG00000068120"	2.63105503302762e-05	0.024072956963696	4	1	0.485828760326078	1	1
"ENSG00000167460"	"ENSG00000167460"	0.00016256111556536	0.024393869704603	6	1	-0.229749059531593	1	1
"ENSG00000169926"	"ENSG00000169926"	0.00260880627480795	0.0267015128710154	4	1	0.699616202326996	1	0.666666666666667
"ENSG00000103415"	"ENSG00000103415"	0.0249764768581794	0.0290045024255117	4	1	-0.462091060169178	1	1
"ENSG00000169062"	"ENSG00000169062"	1.56606097187662e-09	0.0306511730342503	10	1	-0.355842492071086	1	0.833333333333333
"ENSG00000006625"	"ENSG00000006625"	0.000971965363691568	0.0321073991678262	4	1	0.260411883004839	1	0.833333333333333
"ENSG00000147676"	"ENSG00000147676"	0.0357158594260678	0.0336310035841968	3	1	-0.280612039954546	1	1
"ENSG00000125944"	"ENSG00000125944"	4.97571245338644e-17	0.0351739963601582	9	1	-0.452149492320358	1	0.833333333333333
"ENSG00000184110"	"ENSG00000184110"	0.0085556641905174	0.0353679183922042	3	1	0.40404540798551	1	1
"ENSG00000111907"	"ENSG00000111907"	2.08822746804049e-05	0.037212557496558	4	1	-0.399590658483209	1	1
