"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Basal_UK_72hpi_child_Infected-Basal_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000163399",1.56225521372967e-23,7.88791048471066e-16,5,1,0.619434224964129,1,1
"ENSG00000130312",3.50971601558415e-05,0.0106503683659387,3,1,0.618988504084273,1,1
"ENSG00000092108",1.65746770569082e-12,1,7,0,-0.614352371545645,1,0.833333333333333
"ENSG00000124795",0.0342166989189589,0.0203479671484035,3,1,-0.61326763451189,1,0.833333333333333
"ENSG00000149273",5.07472166892066e-212,6.77194882381054e-44,7,1,-0.612980113645896,1,1
"ENSG00000010165",0.0384625253445372,0.299183928154347,3,0,-0.612138407681819,0.833333333333333,0.666666666666667
"ENSG00000211460",1.75925306122791e-10,1,5,0,0.610787069155943,1,0.5
"ENSG00000143321",2.11692704011219e-10,1,4,0,-0.607516242356975,1,1
"ENSG00000138698",0.00166342338121946,1,4,0,-0.604108182486964,1,0.833333333333333
"ENSG00000169228",0.0054279701400024,1,4,0,0.603542274347,0.833333333333333,0.833333333333333
"ENSG00000245694",6.74514948316092e-22,0.00935861701834894,6,2,-0.602800551812837,1,1
"ENSG00000167272",1.72233689471165e-08,1,7,0,0.600934239222488,1,0.5
"ENSG00000130702",0.00110398712414505,1,7,0,-0.599999999999919,1,0.666666666666667
"ENSG00000137693",0.00762076169927546,1,7,0,-0.59999742085345,1,0.666666666666667
"ENSG00000164172",3.07934840043659e-07,1,4,0,-0.599067446750908,1,1
"ENSG00000100413",0.00260880627480795,1,5,0,-0.59906681926534,1,0.833333333333333
"ENSG00000106105",0.000130070279913299,1,5,0,-0.598843636108766,0.833333333333333,0.833333333333333
"ENSG00000166275",8.07957526650413e-12,1,4,0,-0.598170936188629,1,1
"ENSG00000168256",0.0204169418978177,1,4,0,-0.597994749242272,1,0.666666666666667
"ENSG00000104320",0.00185412132936328,0.00222836446397284,3,1,0.597277595527475,1,0.666666666666667
"ENSG00000088930",0.00370089946967679,1,3,0,-0.596253893933009,1,0.833333333333333
"ENSG00000163435",2.73053245870352e-158,7.99688465704172e-26,5,1,0.595986207989137,1,1
"ENSG00000117475",0.00356737784800524,0.237586563413121,3,0,-0.59533911345948,0.833333333333333,0.833333333333333
"ENSG00000064726",0.0499777547467793,0,2,2,-0.592102432539405,1,1
"ENSG00000177565",0.00355670461225787,1,5,0,0.585588608445781,0.833333333333333,0.666666666666667
