"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Suprabasal_UK_72hpi_adult_Infected-Suprabasal_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000166200",2.28531901005702e-09,1,3,0,0.633666901244077,1,1
"ENSG00000165526",0.00244138938252027,1,3,0,0.632774349077227,1,0.666666666666667
"ENSG00000141510",0.000216256880944312,0.00292580011536572,4,1,0.631962155317339,1,0.833333333333333
"ENSG00000158023",0.000357479351836171,0.00349721264587801,6,1,-0.629375721354704,1,0.833333333333333
"ENSG00000135925",6.37296810044038e-07,1,5,0,-0.626624110435193,1,0.833333333333333
"ENSG00000104312",0.00951425070883733,0.633454795402328,4,0,-0.625137484722831,0.833333333333333,0.666666666666667
"ENSG00000189403",2.48611533726462e-243,1,7,0,-0.624845197835877,1,1
"ENSG00000041988",0.0038294141542403,1,4,0,-0.624448964124932,1,0.833333333333333
"ENSG00000152582",0.0150762212285802,0.0324135569789396,3,1,0.623531677119446,1,1
"ENSG00000132470",6.20001021041142e-37,0.00339250561853448,6,1,-0.623022035717249,1,1
"ENSG00000176124",1.55238804449121e-06,0.916259284184225,3,0,0.622321159397481,1,1
"ENSG00000204385",2.36426273095064e-25,5.86423962626085e-12,4,1,0.622222319220334,1,1
"ENSG00000116288",0.0103042014224331,1,5,0,0.620961316422895,1,0.666666666666667
"ENSG00000145495",0.00422275519333879,1,3,0,0.618565040194016,1,0.5
"ENSG00000185009",0.00327138197289358,0.640212935113938,3,0,-0.61837209261649,1,0.833333333333333
"ENSG00000004455",4.56321364766992e-14,4.49468390228382e-12,4,1,-0.614988941436811,1,1
"ENSG00000117151",2.39905742013682e-18,0.263601114821579,7,0,0.614560331688695,1,1
"ENSG00000148925",8.3591653801983e-09,1,3,0,-0.613717834429086,1,1
"ENSG00000128739",1.21022139916425e-33,1,5,0,-0.611683822895041,1,1
"ENSG00000183421",8.78679053972633e-11,1,4,0,-0.611490947909617,1,1
"ENSG00000163435",1.33861136857876e-215,3.50300306122157e-50,4,1,0.608867888307785,1,1
"ENSG00000114019",5.70418948382075e-06,1,3,0,0.608477129916573,1,0.833333333333333
"ENSG00000247556",0.0155278338287318,0.0119169168126398,3,1,-0.607057323696549,1,0.833333333333333
"ENSG00000075539",0.0118866493941015,0.039378159594194,4,1,0.605530552164334,1,0.833333333333333
"ENSG00000185104",2.1836309149124e-08,0.0119177133248525,4,1,-0.605181994970524,1,0.833333333333333
"ENSG00000173818",0.00120018651313026,1,5,0,-0.604392871516792,1,0.666666666666667
"ENSG00000139537",2.60213958466209e-07,0.00207985874970219,4,1,0.603499536014852,1,1
"ENSG00000155090",4.73937069731069e-05,1,3,0,-0.603346818248118,1,0.833333333333333
"ENSG00000144524",0.0203832064183643,1,3,0,0.602685029555182,0.833333333333333,0.5
"ENSG00000166821",0.00545208776988427,1,3,0,-0.599999999999969,1,0.833333333333333
"ENSG00000127952",1.52907394324432e-09,1,7,0,-0.599147827062491,1,0.833333333333333
"ENSG00000063660",2.56104213417841e-11,1.1069738534881e-09,3,1,-0.598918296440546,1,1
"ENSG00000001630",0.000287164055081922,1,4,0,0.597993984287562,1,1
"ENSG00000196872",1.2054413702778e-11,3.322086895904e-05,5,1,-0.593749421884113,1,1
"ENSG00000178057",8.72093251137408e-43,7.04075580293125e-05,4,1,-0.593549021337468,1,1
"ENSG00000006744",0.00469595599490479,0.095744265712658,4,0,0.593458398537139,1,1
"ENSG00000023572",2.41549006489411e-10,0.17190695213667,4,0,-0.58746985375254,1,1
"ENSG00000153250",8.1312501651633e-07,1,6,0,0.587093066261652,1,0.5
