"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Suprabasal_UK_72hpi_child_Infected-Suprabasal_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000197063",0.000997443367634707,1,3,0,-0.828950105726098,0.833333333333333,0.666666666666667
"ENSG00000107959",0.000270262482681594,1,3,0,0.828644994096141,1,0.5
"ENSG00000163235",0.00340877848108667,0.0328582125686133,3,1,-0.827240448371989,0.833333333333333,0.666666666666667
"ENSG00000196754",2.60412718504663e-91,8.91969331021894e-65,4,1,0.826689279568159,1,1
"ENSG00000162231",1.25571657465738e-05,1,4,0,0.820604096125428,1,0.833333333333333
"ENSG00000152904",1.400842812011e-11,1,4,0,-0.808466386640023,1,0.666666666666667
"ENSG00000185033",1.40294047580197e-08,0.139748549262057,4,0,0.804429814719681,1,0.666666666666667
"ENSG00000113732",5.01898915337597e-103,1.10465605837464e-31,3,1,-0.80300110038253,1,1
"ENSG00000137203",8.76580198981456e-06,1,5,0,-0.802471078411686,1,0.833333333333333
"ENSG00000099958",0.0110509953317995,1,4,0,0.799995162397943,1,0.5
"ENSG00000140043",0.00455886649582081,1,5,0,-0.799994215177541,0.833333333333333,0.666666666666667
"ENSG00000177082",1.02382482702128e-07,1,4,0,-0.797301947416978,1,0.666666666666667
"ENSG00000164919",1.18621359532689e-72,1.84210126985097e-65,4,2,0.791512252185496,1,1
"ENSG00000100568",1.42675338779442e-20,0.0826355255467252,4,0,0.7876003586932,1,1
"ENSG00000161996",0.00691612169697471,1,4,0,-0.787104191339586,0.833333333333333,0.5
"ENSG00000159658",0.000308974301064509,1,3,0,0.784430691139721,0.833333333333333,0.666666666666667
"ENSG00000154813",5.93473899831152e-06,0.124522963102768,3,0,-0.77520066091109,1,0.666666666666667
"ENSG00000285437",2.0820183776149e-06,1,7,0,-0.774486580446286,1,0.833333333333333
"ENSG00000170876",0.00557503125514945,0.00206630361202826,3,1,-0.77349675487202,0.833333333333333,0.666666666666667
"ENSG00000134108",0.00438994332334964,0.00328337078355425,3,1,0.773293009783227,0.833333333333333,0.666666666666667
"ENSG00000164904",3.56777442442569e-12,0.0150450206144028,6,1,0.769230474014843,1,0.833333333333333
"ENSG00000185567",2.04734050676719e-14,6.42972742921447e-10,4,1,-0.766007260164878,1,0.833333333333333
"ENSG00000004961",3.76472060566754e-16,1,6,0,0.765333267506406,1,1
"ENSG00000102572",6.15342925833359e-06,0.827763129537853,4,0,0.765271026432579,0.833333333333333,0.5
"ENSG00000137274",3.38285366467228e-06,0.0186230624885456,5,1,0.765062980187834,1,0.833333333333333
"ENSG00000183751",0.00377086532677962,1,3,0,0.757299125659316,0.833333333333333,0.666666666666667
"ENSG00000139263",0.00286170202659642,1,3,0,0.755486611115307,0.833333333333333,0.666666666666667
"ENSG00000173575",0.00340877848108667,0.000701258295914302,4,1,-0.754443998254072,0.833333333333333,0.666666666666667
"ENSG00000108963",7.83378898528889e-06,9.61242471042077e-05,4,1,0.754438341753439,1,0.666666666666667
"ENSG00000148700",0.000332798206898025,0.000129045203971593,3,1,-0.754316161383676,0.833333333333333,0.666666666666667
"ENSG00000142627",7.58222489912774e-20,1,4,0,-0.754075183605911,1,1
"ENSG00000111371",2.86800521123124e-07,1,5,0,-0.75280357091346,1,1
"ENSG00000178104",0.000480037039523212,0.000334295938615381,3,1,0.752561649849524,1,0.666666666666667
"ENSG00000174547",5.11393892370225e-37,3.61846109259591e-32,4,1,-0.752270269930505,1,1
"ENSG00000101608",8.02812968706875e-49,3.03024565463765e-11,5,2,-0.752060710229365,1,1
"ENSG00000115694",2.2901511435627e-07,1,7,0,-0.750000119367205,1,0.666666666666667
"ENSG00000174943",0.00837632645366815,0.206109610029176,3,0,-0.75,1,0.666666666666667
"ENSG00000121413",0.00459726629687722,1,5,0,-0.749999999999999,1,0.666666666666667
"ENSG00000034677",0.00738735629179604,1,4,0,-0.749979914626337,0.833333333333333,0.666666666666667
"ENSG00000099810",0.000323139266090345,1,3,0,0.749440582636546,1,0.666666666666667
"ENSG00000117592",1.67064507800953e-98,1,3,0,0.746951405510873,1,1
"ENSG00000006744",0.00532155126138335,1,3,0,-0.744325861650144,0.833333333333333,0.666666666666667
"ENSG00000204520",0.0105099691855383,1,4,0,-0.744082462035709,0.833333333333333,0.666666666666667
"ENSG00000104133",0.00803288313556968,1,3,0,-0.740862120079986,1,0.666666666666667
"ENSG00000139083",0.000311047520860781,0.0613728154936604,3,0,-0.73229446413348,1,0.666666666666667
"ENSG00000186918",0.00201450146445706,1,4,0,-0.729782168890535,1,0.5
"ENSG00000172809",0.0090212044276114,0.0133435175171499,3,1,0.729518584443532,0.833333333333333,0.833333333333333
"ENSG00000113387",3.04912725413146e-26,7.90660784150174e-15,3,1,-0.727654499931544,1,1
"ENSG00000156413",3.86693861332708e-07,1,5,0,-0.72380208142306,1,0.5
"ENSG00000167272",1.09643130849523e-11,1,5,0,-0.722713413898064,1,0.666666666666667
"ENSG00000204536",0.00021771913006961,0.00704943016660159,3,1,-0.718109372844321,1,0.666666666666667
"ENSG00000070831",1.19633688773077e-60,1,3,0,-0.716080964164586,1,1
"ENSG00000185813",2.63742722259178e-06,1,5,0,-0.699968459326554,1,0.833333333333333
"ENSG00000060237",1.93440754487236e-06,1,7,0,-0.699506993668585,1,0.833333333333333
