"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Basal_UK_72hpi_adult_Infected-Basal_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000226067",4.54768367203788e-08,0.112375640731838,7,0,-0.399999861501528,1,1
"ENSG00000146416",0.0308427812026555,1,3,0,0.397013849912634,1,0.833333333333333
"ENSG00000164442",0.000264091728857895,2.90453349188152e-05,3,2,0.396785195418635,1,1
"ENSG00000150753",3.54616397783202e-28,8.46304503661657e-15,3,1,-0.396313569827846,1,1
"ENSG00000156110",8.47074703152507e-06,0.906444765330017,7,0,0.396266230807878,1,0.833333333333333
"ENSG00000131732",0.0446778299711923,0.0571702242720434,7,0,-0.39594345164136,1,1
"ENSG00000124380",0.000995198430105344,1,4,0,0.395864092085829,1,1
"ENSG00000206140",0.00222569195982759,0.131615400617445,4,0,-0.395443950139881,1,0.833333333333333
"ENSG00000144560",8.94814094475388e-12,0.674067767833689,7,0,0.395004593713612,1,1
"ENSG00000160633",0.035906992684962,0.0096579056919769,3,1,-0.394837147892165,1,1
"ENSG00000023572",3.19278345467935e-05,0.553380123108754,4,0,0.39396623756562,1,1
"ENSG00000130560",1.34501388772629e-05,8.95703981960839e-07,3,2,0.393948194460846,1,1
"ENSG00000175279",3.12693338212042e-06,1,8,0,0.392772951681475,1,1
"ENSG00000068438",0.00125043438036381,1,4,0,0.392674828603862,1,1
"ENSG00000083535",0.0139459715905798,0,2,2,-0.390655798113968,1,1
"ENSG00000125877",7.5561268848734e-09,0.007377720472254,4,1,0.388888777741952,1,1
"ENSG00000096872",0.0142266473067903,0.0129578711145022,7,1,0.388846323405489,1,1
"ENSG00000115464",0.00107727585247114,0.0266246660442391,5,1,-0.388366969511174,1,1
"ENSG00000113597",0.0155134093198435,0.300382363669323,5,0,-0.38755375656188,1,0.833333333333333
"ENSG00000178741",1.51167302223419e-31,0,2,2,-0.387296075792696,1,1
"ENSG00000185049",0.0403373541500658,0.508813866710095,4,0,-0.387194611665799,1,0.833333333333333
"ENSG00000060237",3.99856582206619e-07,1,4,0,-0.386965966628785,1,1
"ENSG00000119979",0.00437414422301569,1,5,0,-0.386547331569951,1,1
