"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Ciliated_UK_72hpi_child_Infected-Ciliated_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000154640",7.92081240868071e-12,4.9916547487274e-08,3,1,-0.222458404813879,1,1
"ENSG00000099204",0.00040820135893663,0.0110952187920418,7,1,0.222417458926332,1,1
"ENSG00000172113",4.53601296036241e-11,1,12,0,-0.222198939231279,1,1
"ENSG00000090989",0.00160563921338042,0.740911340183752,6,0,-0.222098289201624,1,1
"ENSG00000167766",0.0127721405586354,0.962767214442416,7,0,-0.221931871308689,1,1
"ENSG00000046647",0.00157485379473446,0.0903462889638206,4,0,-0.221847936080106,1,1
"ENSG00000140284",4.45508962128216e-13,1,3,0,-0.22164951339517,1,1
"ENSG00000073792",0.0109591207883684,0.00754368959929624,3,1,0.221515223609763,1,1
"ENSG00000006704",0.0194813119718365,1,4,0,-0.22148029083205,1,1
"ENSG00000119487",0.000395601502113289,0.187571476362566,5,0,0.221243577385524,1,1
"ENSG00000072609",0.000237842993265493,0.762231488685782,5,0,-0.220772039786481,1,1
"ENSG00000039650",0.0274397234810181,0.0185235007335342,4,1,0.220630095037771,1,1
"ENSG00000145736",5.08456835177798e-09,0.331706802314598,9,0,-0.220242379391113,1,1
"ENSG00000117525",2.40449724934485e-100,1,4,0,0.219864526178609,1,1
"ENSG00000227053",0.0496469309993295,0,2,2,-0.219795795109241,0.833333333333333,0.833333333333333
"ENSG00000004534",3.84048215119576e-06,1,6,0,-0.219180902152181,1,1
"ENSG00000196591",6.24113668637814e-19,0.000306560073594917,4,2,0.219111375890877,1,1
"ENSG00000142867",1.90540484315774e-05,0.000691444905741962,3,1,0.219097249883917,1,1
"ENSG00000120885",1.88817178110609e-25,1,3,0,-0.219069283533683,1,1
"ENSG00000168488",6.56915625768346e-14,0.0666698496863901,12,0,-0.218749890832456,1,1
"ENSG00000161203",1.28101289237028e-45,1,4,0,-0.218565967520963,1,1
"ENSG00000120471",2.06527445867392e-13,0.128925586256617,13,0,-0.218181836761615,1,1
"ENSG00000159588",0.00049078006030029,0.266988125379222,11,0,0.218126463923473,1,1
"ENSG00000161921",5.98962438598596e-20,0.00276599665942288,7,1,0.218121668783514,1,1
