"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Cycling_basal_uninfected_child_Uninfected-Cycling_basal_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000100129",5.2222692098451e-11,1,9,0,-0.363636404855246,1,1
"ENSG00000119333",0.0193299408702846,1,6,0,0.358197968059698,1,1
"ENSG00000178057",0.0039321360741932,1,4,0,0.353239436165033,1,1
"ENSG00000078668",0.00329752931107274,0.041227598364661,5,1,-0.351105203187541,1,1
"ENSG00000156508",3.67390773438891e-243,0,2,2,-0.349722928606451,1,1
"ENSG00000067182",0.0150227130381518,1,4,0,0.349548678521112,1,1
"ENSG00000203875",5.26848469661638e-06,7.90040419157159e-05,9,2,-0.348886419649017,1,1
"ENSG00000154582",8.42037237143523e-06,1,11,0,-0.343283496852615,1,1
"ENSG00000125166",0.0253906343329915,0.232979340581676,3,0,0.338777147122391,1,1
"ENSG00000160789",0.0101093025305595,0.0189729496274752,6,1,-0.337881676821137,1,1
"ENSG00000198131",0.0431736887785965,1,10,0,-0.337863439009675,0.8,0.6
"ENSG00000169692",0.0280192092893546,0.0240147030828527,3,1,-0.337657430092233,1,1
"ENSG00000185825",0.000130185887807925,0.0672678885117245,9,0,-0.333463554949921,1,1
"ENSG00000159588",0.0298983496992748,1,16,0,0.333332906927378,1,0.8
"ENSG00000090060",0.0013280779839996,1,7,0,-0.332822999528325,1,1
"ENSG00000245694",0.000306301686200712,0.386649299568054,15,0,-0.328200980075301,1,0.8
"ENSG00000108244",1.92679237592844e-09,0.000105039083467267,3,1,-0.32064133689509,1,1
"ENSG00000115963",0.043619120394197,0.0334324623913649,8,1,0.309619304499338,1,1
"ENSG00000100219",0.011802623151906,0.0637266212082428,8,0,0.306038772816095,1,1
"ENSG00000110321",5.02940696231263e-06,1,9,0,-0.305577022611735,1,1
"ENSG00000102144",0.0439242810379549,0.0633989750585404,5,0,-0.303615103909103,1,1
"ENSG00000130702",0.0276975042423322,1,11,0,0.285714285714286,0.8,0.6
"ENSG00000147889",2.72301052395597e-10,1,13,0,0.285711601175194,1,0.8
"ENSG00000245532",0.0230688535223583,0.0145934923860909,4,1,0.282200105761606,1,1
"ENSG00000130429",2.65799239339708e-11,5.32115400642695e-07,5,1,-0.280006644194132,1,1
"ENSG00000065154",0.0237960634637132,0.0448395568059168,3,1,-0.272254175548917,1,1
"ENSG00000182087",0.00366073561432237,1,19,0,0.271748153844578,1,1
"ENSG00000153310",0.0338673634640798,1,16,0,-0.269230444397016,1,0.6
"ENSG00000243955",0.00442029120473766,1,3,0,-0.265486567161309,1,1
"ENSG00000111639",1.78955338560712e-08,0.135858930610135,5,0,0.263192742180235,1,1
"ENSG00000197956",9.08511295865979e-272,1,3,0,0.25671141080189,1,1
"ENSG00000116171",0.00868805965924877,1,6,0,-0.254679829814292,1,1
"ENSG00000163597",0.00118105589557981,1,11,0,0.249998416299188,1,1
"ENSG00000111142",0.0297979560685969,1,4,0,0.247186343676166,1,1
"ENSG00000128016",1.18749511160456e-06,1,4,0,0.245561045788674,1,1
"ENSG00000163931",3.77796670223702e-09,0.000355597154546134,3,1,-0.243949517460074,1,1
"ENSG00000173467",0.000723571303631897,0.221236725383255,5,0,-0.238997665282716,1,1
"ENSG00000169223",0.00115506533636497,1,3,0,0.237970949591945,1,1
"ENSG00000189159",0.0269324624031623,0.382700282708694,3,0,-0.234275474030626,1,1
"ENSG00000132432",0.0162005899778309,0.251573558518807,3,0,-0.231627451423123,1,1
"ENSG00000170477",0.0175081278659851,0.760612082075874,3,0,-0.231563914816044,1,1
"ENSG00000166145",5.71864672191303e-05,0.322601083749496,7,0,-0.227519256146812,1,1
"ENSG00000087460",1.29419778383555e-14,1,17,0,-0.224489605474426,1,1
