"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Suprabasal_VIC01_72hpi_child_Infected-Suprabasal_uninfected_child_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000113712"	"ENSG00000113712"	6.65787536104891e-23	0.0291203581151239	13	1	-0.409862267791347	1	0.666666666666667
"ENSG00000117228"	"ENSG00000117228"	1.54164660614468e-06	0.0306909756831588	5	1	-0.6022120401451	1	0.666666666666667
"ENSG00000115963"	"ENSG00000115963"	0.0207008430755504	0.031837580011116	6	1	-0.219024985869965	1	1
"ENSG00000198736"	"ENSG00000198736"	0.000139056379510708	0.0319928262242841	4	1	-0.393443077022658	1	1
"ENSG00000133818"	"ENSG00000133818"	7.32924614157338e-06	0.0349599340668921	5	1	-0.611165822109116	1	0.833333333333333
"ENSG00000183291"	"ENSG00000183291"	6.42935803747112e-05	0.036241751129794	4	1	-0.421052966602042	1	1
"ENSG00000168268"	"ENSG00000168268"	0.0207008430755504	0.0370149663269019	3	1	0.666979025293432	1	0.833333333333333
"ENSG00000136279"	"ENSG00000136279"	0.000107304405552983	0.0381082144020637	6	1	0.409421483214275	1	1
"ENSG00000121073"	"ENSG00000121073"	1.99284598735108e-05	0.0383579472932431	7	1	-0.568149897205567	0.833333333333333	0.666666666666667
"ENSG00000082153"	"ENSG00000082153"	7.89417782674053e-09	0.0408749064093133	4	1	0.363978893078904	1	1
"ENSG00000173113"	"ENSG00000173113"	0.000577482088877396	0.0430606963904051	4	1	0.224572548524988	1	1
"ENSG00000204711"	"ENSG00000204711"	0.0141848503382227	0.0488745426921975	7	1	0.225907479094832	1	1
"ENSG00000107672"	"ENSG00000107672"	0.0159016142796091	0.0497608051933064	4	1	-0.295131791278023	1	1
