"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Suprabasal_VIC01_72hpi_child_Infected-Suprabasal_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000168310",1.12138104089779e-05,0.00180151984028541,5,1,0.487500004062415,1,1
"ENSG00000175756",1.05369051980494e-05,5.08592715577013e-07,4,2,0.487383419148142,1,1
"ENSG00000172831",0.00041759039775574,0.188063328334734,4,0,0.485305655246279,0.833333333333333,0.833333333333333
"ENSG00000135052",0.00135475603133799,0.00166292973170658,3,1,-0.485189535897586,1,1
"ENSG00000067836",0.00481897269469515,0.0101086580175932,6,1,-0.484315780858416,1,1
"ENSG00000186395",6.39270173829482e-05,0.0157927648628752,4,1,-0.479130982038081,1,0.833333333333333
"ENSG00000128699",0.00217521941815016,0.146621365366035,5,0,0.477374222318107,0.833333333333333,0.833333333333333
"ENSG00000149182",0.00114204954204024,0.392333482529173,5,0,0.476815800369442,1,0.666666666666667
"ENSG00000074201",0.018865296703025,0,2,2,-0.476305911488096,1,0.833333333333333
"ENSG00000108587",7.44334632955592e-06,1,4,0,-0.473980171509285,1,0.833333333333333
"ENSG00000103351",0.00893442255964071,0.00205088074071725,3,2,-0.473889998981292,1,1
"ENSG00000111907",0.0154280628830675,0.00378937189755491,4,2,0.472864072369554,1,1
"ENSG00000111142",0.0011300393241717,1,3,0,-0.472001972809487,1,1
"ENSG00000116661",3.29749089865192e-06,1,3,0,-0.471448042316791,1,1
"ENSG00000185055",0.000315704971608658,0.00235892938699748,6,1,0.471187422848902,1,0.833333333333333
"ENSG00000154380",0.0124664440763712,0.00670364556914463,3,2,0.470657182197429,1,0.833333333333333
"ENSG00000103876",0.0277154399679863,1,4,0,0.468411092196599,0.833333333333333,0.666666666666667
"ENSG00000138668",0.0129958646863292,0.954632365224359,4,0,0.466242090129398,1,0.833333333333333
"ENSG00000263001",0.0266768965469649,0.762885211385448,4,0,-0.465943048973769,1,0.833333333333333
"ENSG00000153292",0.000395836888675436,1,7,0,-0.46522585270236,1,1
"ENSG00000198692",0.0195765583845355,0,2,2,-0.464423747512113,1,1
"ENSG00000148248",0.0200191381639997,0.310058741094119,4,0,-0.463725803613187,1,0.666666666666667
"ENSG00000156313",0.00823263811343223,0.226041791642521,6,0,-0.463320472023151,1,1
"ENSG00000138772",1.24720367942811e-18,1,4,0,0.463145455131186,1,1
