"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Basal_VIC01_72hpi_child_Infected-Basal_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000185825",1.13949697700424e-09,2.62686891668681e-08,4,1,-0.416785400772115,1,1
"ENSG00000234545",0.0168868800747629,0.923486238055455,5,0,-0.413928755860087,1,1
"ENSG00000135363",3.5331066228369e-05,1,6,0,-0.413295969653793,1,0.833333333333333
"ENSG00000166979",0.000421818576382393,1,6,0,-0.411763389948175,1,0.833333333333333
"ENSG00000124942",0.0303675931925447,0,2,2,-0.410788087276037,1,1
"ENSG00000104529",1.76596891702478e-09,1.19226638109133e-09,4,2,0.406486771115794,1,1
"ENSG00000118705",0.00570383546465011,0.0399128223372218,4,1,0.404299457929511,1,1
"ENSG00000023191",3.71778703383138e-07,4.08005295810133e-08,5,2,-0.403948679069131,1,1
"ENSG00000119333",4.57974715116144e-08,1,3,0,-0.401331381921974,1,1
"ENSG00000149084",0.017402716352311,1,4,0,0.398967222798199,1,1
"ENSG00000106682",0.00434003001790888,0.0701860520257079,3,0,0.397516891488641,0.833333333333333,0.833333333333333
"ENSG00000143947",1.56917657480998e-82,0,2,2,-0.394990579986382,1,1
