"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Secretory_UK_72hpi_child_Infected-Secretory_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000135541",0.0236880350049099,0.331344771524024,4,0,-0.279691647571574,0.833333333333333,0.833333333333333
"ENSG00000146409",0.00486027445778715,1,3,0,-0.278956091910649,0.833333333333333,0.833333333333333
"ENSG00000119688",3.62645984201728e-05,0.148030677881198,7,0,-0.278903030187633,1,1
"ENSG00000117475",0.00115864836992258,0.964669906266057,3,0,-0.278638758826571,1,1
"ENSG00000071553",0.00192295282260228,0,2,2,0.278326892929309,1,1
"ENSG00000159714",1.96529769112623e-06,0.103904675514238,8,0,-0.277777417395391,1,1
"ENSG00000167136",1.44876898365555e-14,2.28215481095164e-06,3,1,-0.27768636079807,1,1
"ENSG00000119950",0.00174619974755459,0.354121519224816,8,0,-0.277545284806852,1,0.833333333333333
"ENSG00000203985",0.0218112063583041,0.110697421247013,6,0,0.277408638300818,1,0.833333333333333
"ENSG00000072210",3.50050699414542e-26,0.000249401989602994,7,1,-0.277282368015858,1,1
"ENSG00000135506",2.41222296769346e-08,0.0194016671392117,5,1,0.276595609583335,1,1
"ENSG00000144048",2.95040464436608e-07,0.811065637889059,3,0,-0.275479657163361,1,1
"ENSG00000187244",2.7767031497142e-25,0.0884801065845219,4,0,-0.275023685198022,1,1
"ENSG00000276170",2.8881275713913e-08,1,5,0,-0.274999803945675,1,1
"ENSG00000197989",0.00372196436939557,0.129576465767948,7,0,0.274304624060306,1,0.833333333333333
"ENSG00000013441",0.000901236776424375,0.0889491490403814,6,0,-0.274100497292138,1,1
"ENSG00000182934",4.39862992560262e-05,0.0219658620575203,4,1,0.273973488818729,1,1
"ENSG00000141905",6.81428090471737e-05,0.00626215032449643,8,1,0.273427327402346,1,1
"ENSG00000148248",4.72741635297906e-14,0.000127510600960553,7,1,0.272727014537791,1,1
"ENSG00000136450",3.73732963291988e-05,0.0923316374855725,5,0,0.2726052540991,1,1
"ENSG00000173598",2.91048751298398e-25,1,4,0,0.272491121083875,1,1
"ENSG00000115484",8.03315458451206e-11,0.0981080579728242,5,0,-0.272212685180331,1,1
"ENSG00000117616",1.70465003617436e-07,1,7,0,0.271345571040987,1,1
"ENSG00000240344",0.0105855162717292,0.144215242516424,7,0,-0.270695340055688,1,1
"ENSG00000175482",9.08287257475128e-11,0.178382997031555,8,0,0.270674615377917,1,1
"ENSG00000088448",0.0144715736130312,0.379382210736694,4,0,-0.270455275670308,1,1
"ENSG00000069764",2.3364983548809e-08,1,6,0,0.270078442624802,1,1
"ENSG00000105655",1.02310029354645e-08,0.401541875674754,6,0,0.269891498632341,1,1
"ENSG00000119801",2.73501573381788e-14,0.177634389872169,8,0,-0.269095118231419,1,1
"ENSG00000137504",0.00727634086162875,1,4,0,-0.268634828512,1,1
"ENSG00000135185",1.75649191739656e-05,1,5,0,-0.268282171721563,1,1
"ENSG00000181458",0.0111470322479323,0,2,2,-0.268158864999023,1,1
"ENSG00000187954",4.84177568386494e-16,1,10,0,-0.267689312813188,1,1
"ENSG00000136682",4.275286298129e-16,0.0245895380924556,11,1,-0.266763820462218,1,1
"ENSG00000163832",0.00153628351264044,0.0325204405877921,5,1,-0.266658449496081,1,1
"ENSG00000109046",0.00179041514397663,0.224704955065348,6,0,-0.266604767932791,1,1
"ENSG00000091073",1.33073035324955e-14,0.0651773120495972,11,0,-0.26624102138029,1,0.833333333333333
"ENSG00000125166",0.000214541164841438,0.0119111101236555,4,1,0.264682485381043,1,1
"ENSG00000074696",0.011680447311741,0.00222798070280517,3,2,-0.264466236348943,1,1
"ENSG00000112110",6.66936639588186e-16,3.74965093626215e-05,3,1,-0.264439036034038,1,1
"ENSG00000159346",1.41180094070616e-06,0.00174264523897514,3,1,0.263888134730863,1,1
"ENSG00000169251",0.00131946321041845,0.803650456259408,5,0,-0.263748015520924,1,1
"ENSG00000188938",3.24936454818177e-09,0.0121830661632718,6,1,-0.263311275543117,1,1
"ENSG00000105223",1.09631967042399e-12,0.0906465061496452,12,0,0.263007823123798,1,0.833333333333333
"ENSG00000110011",6.7182384450826e-09,1,5,0,0.262689284917892,1,1
"ENSG00000042753",8.18072422932271e-09,9.64007530247904e-11,4,1,-0.262562930482477,1,1
"ENSG00000162076",3.6866833669622e-09,0.561724847028212,5,0,-0.261292461889041,1,1
"ENSG00000109321",0.0398532221253031,0,2,2,0.261173111068145,1,1
"ENSG00000135679",0.00886160894733519,0.00219257660928546,6,1,-0.261155820943261,1,1
"ENSG00000184203",0.0216516306819309,0.144331217858217,4,0,0.261085467229235,1,1
"ENSG00000146733",0.000702029453626856,1,5,0,0.260862483867588,1,1
"ENSG00000016864",1.35209868677069e-21,1,10,0,0.260672475953768,1,1
"ENSG00000171314",1.44112899564548e-40,1,3,0,-0.260363113818944,1,1
"ENSG00000198498",0.0167217825993538,0.363058311821343,4,0,-0.259827986146308,1,1
"ENSG00000122417",4.50713765061851e-15,1,10,0,-0.259277685066921,1,1
"ENSG00000137767",1.06996846781502e-09,0.999767760899635,4,0,0.258494501776566,1,1
"ENSG00000130066",4.84348464658324e-95,2.118563349697e-29,6,1,-0.258324812099592,1,1
"ENSG00000128309",3.21784920706166e-24,1,5,0,0.258112550850535,1,1
