"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Goblet_uninfected_child_Uninfected-Goblet_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000166869",2.98673560770792e-10,1,3,0,-0.628902759755023,0.833333333333333,0.833333333333333
"ENSG00000114861",0.00891104315917681,1,9,0,0.624999879541677,0.833333333333333,0.666666666666667
"ENSG00000285437",2.27930163792965e-08,1,9,0,0.624933398055779,1,0.833333333333333
"ENSG00000099875",1.64011803674293e-11,0.000159827787036111,5,1,-0.624233879007835,1,1
"ENSG00000174844",0.00421161756340034,0.298172487998158,4,0,-0.623153672237857,0.833333333333333,0.5
"ENSG00000121057",0.0386551177441135,0.685873999241585,3,0,-0.621889296518967,0.666666666666667,0.666666666666667
"ENSG00000128699",1.34671062321449e-08,0.000204602553858431,4,1,-0.621211745597988,0.833333333333333,0.666666666666667
"ENSG00000114439",2.31888738264833e-07,0.00788335735645706,7,1,-0.615384615154105,0.833333333333333,0.5
"ENSG00000174021",1.11797530765717e-73,0,2,2,-0.613869309879775,1,1
"ENSG00000105953",0.000623850381297262,1,3,0,0.613626128642303,0.833333333333333,0.666666666666667
"ENSG00000198668",4.01913090598587e-44,3.10135169948455e-12,5,2,0.613072449420832,1,1
"ENSG00000142687",0.0225750915531519,0.164895980350002,4,0,-0.612502800976362,1,1
"ENSG00000138772",4.09158151228024e-22,0.179375728242268,3,0,-0.612329546064225,1,1
"ENSG00000166200",4.19769703085975e-09,1,4,0,-0.611110771026435,1,0.833333333333333
"ENSG00000078618",0.00606488983568959,1,5,0,0.609244295774428,0.833333333333333,0.5
"ENSG00000113712",5.28392230621867e-40,1,10,0,0.60464882383324,1,1
"ENSG00000165175",9.78588822603835e-07,1.27548842060976e-05,4,1,-0.604034885716511,1,0.833333333333333
"ENSG00000166037",0.000191864390895749,1,4,0,-0.603767628855863,1,0.833333333333333
"ENSG00000151287",0.0416569674601563,0.0161850662788914,3,1,0.602610650881766,0.833333333333333,0.666666666666667
"ENSG00000121073",0.0100865433413535,0.0850635240130508,4,0,-0.601655194472944,0.666666666666667,0.666666666666667
"ENSG00000168268",6.85701443223659e-07,3.68248801543965e-05,4,2,0.60041303791189,1,0.833333333333333
"ENSG00000187118",3.57855876720276e-12,1,6,0,0.60020411473215,1,1
"ENSG00000149658",0.0282319239600333,0.0187746678911136,3,1,-0.600177505285359,1,0.666666666666667
"ENSG00000100796",8.03395344855288e-06,1,6,0,0.600000550666658,1,0.666666666666667
"ENSG00000223482",0.00313527875026104,1,9,0,0.600000097884362,0.833333333333333,0.5
"ENSG00000168575",0.000316962424077257,1,5,0,0.59990650361775,1,0.833333333333333
"ENSG00000132356",0.00281682662305927,0.0979916976870044,3,0,0.5993333217083,0.833333333333333,0.666666666666667
"ENSG00000129353",0.0383287165542988,1,4,0,0.598749444648656,0.833333333333333,0.666666666666667
"ENSG00000140307",3.83157746529058e-24,4.64647429845158e-24,3,2,-0.59863858714723,1,1
"ENSG00000103495",5.11962877259416e-06,0.857804651252818,5,0,0.598490397956123,1,0.833333333333333
"ENSG00000235098",0.00773667557089397,1,7,0,0.598479691168159,0.833333333333333,0.833333333333333
"ENSG00000143337",0.0289762410199014,0.0344859642238706,3,1,-0.596981657328937,0.833333333333333,0.666666666666667
"ENSG00000149273",1.38062139462028e-290,0,2,2,-0.59684771951491,1,1
"ENSG00000129194",0.0422105975425613,0,2,2,-0.595708959814741,1,0.666666666666667
"ENSG00000167986",1.02160521198969e-05,1,4,0,-0.595348078288642,1,0.666666666666667
"ENSG00000175279",7.95281318854409e-06,1,7,0,0.595240908081803,1,0.833333333333333
"ENSG00000172831",0.000346865585795651,1,3,0,-0.594200876280493,0.833333333333333,0.666666666666667
"ENSG00000125743",0.00571809329087598,0.212119134587872,3,0,0.594040083606648,0.833333333333333,0.833333333333333
"ENSG00000175575",1.26999172663259e-05,1,4,0,0.592979615718258,1,0.833333333333333
"ENSG00000155438",4.6786076295005e-13,0.00718445056923699,5,1,-0.589815928199119,1,0.833333333333333
"ENSG00000117226",0.0462705883101117,0.275010560913715,4,0,-0.588981892235579,0.833333333333333,0.5
"ENSG00000087903",0.00078846212914471,0.00692982621411715,3,1,-0.587755163540436,0.833333333333333,0.833333333333333
"ENSG00000054282",0.00584742005247903,0.0312917920523889,3,1,0.586375508142575,0.666666666666667,0.5
"ENSG00000175221",0.00128513720348319,1,3,0,-0.5828394188781,0.833333333333333,0.833333333333333
"ENSG00000120438",1.12420800356787e-17,1.00398725707634e-08,3,1,0.58157203829277,1,0.833333333333333
"ENSG00000165698",6.88089560047096e-10,1,6,0,-0.581281842921241,1,1
"ENSG00000164930",0.000135658434401011,1,4,0,0.580667318745377,1,0.666666666666667
"ENSG00000280071",7.11492022331886e-11,0.00799986208525191,5,1,-0.579085426698449,1,1
"ENSG00000175664",0.000748695474715129,0.717292578192658,5,0,0.578948234327389,1,0.833333333333333
"ENSG00000050130",0.0023724571512611,0.00883750259046653,4,1,0.578754305423937,0.666666666666667,0.666666666666667
"ENSG00000079739",0.00782954953888499,0.34528781224761,3,0,-0.577643846447246,1,0.833333333333333
"ENSG00000108588",1.1105745225419e-06,0.0354618951925035,4,1,0.576717306215325,1,0.833333333333333
"ENSG00000100650",9.81438965191388e-40,2.1796524938567e-23,5,1,-0.576138332607218,1,1
"ENSG00000132274",0.000406820198326994,0.00674288689016336,4,1,-0.575743478835339,0.833333333333333,0.833333333333333
"ENSG00000175582",0.0411194855243067,0.00884658919796053,4,1,0.574707166921271,1,0.666666666666667
"ENSG00000081277",0.0284063747508497,0.0111207980427596,3,1,0.574648066141496,0.666666666666667,0.666666666666667
"ENSG00000076242",0.0086894706598384,0.472870687565169,4,0,-0.572651859747751,0.833333333333333,0.5
"ENSG00000108848",0.000151088993744496,4.59118597211555e-05,4,1,-0.572364427118079,1,0.666666666666667
"ENSG00000001630",2.16774757337576e-05,1,6,0,0.571428597779258,0.833333333333333,0.666666666666667
"ENSG00000145779",5.40869821273162e-11,1,7,0,0.571428070303304,1,0.833333333333333
"ENSG00000198960",0.00623740143108739,0.26400006761123,4,0,0.571372986950956,0.833333333333333,0.666666666666667
"ENSG00000132470",2.98688068169869e-21,1,6,0,-0.570525056316918,1,0.666666666666667
"ENSG00000138698",0.0487724842424757,0,2,2,0.570346447983269,0.833333333333333,0.666666666666667
"ENSG00000021355",2.27930163792965e-08,0.000203585486957355,5,1,0.569782471082627,1,1
"ENSG00000110619",0.0357083768235593,1,5,0,0.569556110755289,1,0.833333333333333
"ENSG00000214113",1.1105745225419e-06,1,6,0,-0.567465631485374,1,0.5
"ENSG00000188243",0.0255377438653847,0.154915719612998,4,0,-0.566291759530794,1,0.833333333333333
"ENSG00000023330",6.84300363156834e-07,0.876306164341188,6,0,0.565752785351701,1,0.5
"ENSG00000135205",0.00296917501835749,1,4,0,0.564930814765806,0.833333333333333,0.5
"ENSG00000177830",6.09398873093754e-06,2.03273414769285e-05,3,1,0.56405781805733,1,1
"ENSG00000171792",0.0484060611051285,0,2,2,0.563683622321876,0.833333333333333,0.666666666666667
"ENSG00000253710",0.0012900732514433,1,5,0,0.563510030383993,0.833333333333333,0.833333333333333
"ENSG00000167881",0.000256288002974275,0.0157009510113445,5,1,-0.562499748274259,0.833333333333333,0.666666666666667
"ENSG00000246067",0.0489638316231093,0.467244347505023,3,0,-0.56144285553769,1,0.666666666666667
"ENSG00000172590",2.13150582021322e-05,1,5,0,0.558308055234298,1,0.666666666666667
"ENSG00000128923",0.0275628659395381,0.31407680251987,3,0,-0.556091004471384,0.833333333333333,0.666666666666667
"ENSG00000163517",0.00644746495974791,0.616309947624632,4,0,-0.555801222699382,0.833333333333333,0.666666666666667
"ENSG00000134686",0.00186963441305192,0.599277123078465,4,0,-0.555342980285764,0.833333333333333,0.666666666666667
"ENSG00000136802",0.0425014429611721,0.0831004914310995,4,0,0.554985729726276,1,0.666666666666667
"ENSG00000107372",1.42996136815583e-12,0.0456891300306361,5,1,-0.55384549312843,1,0.833333333333333
"ENSG00000173486",3.10470235242491e-32,2.35158204129714e-19,5,1,0.55315353024907,1,1
"ENSG00000113240",0.00151711576273687,1,5,0,0.552998905396241,1,0.5
"ENSG00000116661",6.74475532063138e-09,1,3,0,0.551340808736151,1,1
"ENSG00000168310",7.59951713415958e-07,0.000800713865432554,5,1,-0.55129590000024,1,0.833333333333333
"ENSG00000184432",1.59843690386106e-13,0.000159409530570891,5,1,-0.549876536459157,0.833333333333333,0.833333333333333
"ENSG00000145901",0.00246633757881509,0.0170118146548595,4,1,-0.546687276546311,0.833333333333333,0.833333333333333
"ENSG00000260916",1.73486439061215e-07,1,5,0,-0.544954856054851,1,0.833333333333333
"ENSG00000185650",1.3705284415178e-13,0.00384374287375384,6,2,0.544932441575987,1,0.833333333333333
