"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Cycling_basal_UK_72hpi_adult_Infected-Cycling_basal_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000108953",3.51780884496224e-11,1.75616435552664e-09,4,1,0.293163627637427,1,1
"ENSG00000171490",0.0239131890485544,0.255644935821396,3,0,-0.292687441182982,1,1
"ENSG00000100360",5.26142099409334e-08,1,4,0,0.292476124536166,1,1
"ENSG00000176155",0.0271825679322679,0.506975067925388,5,0,0.29233640023568,1,1
"ENSG00000111142",0.00110818350866675,0.208020108541943,4,0,-0.29214946716768,1,1
"ENSG00000064666",0.0170063125049692,0.0435586924309827,4,1,-0.291838070839457,1,1
"ENSG00000114209",6.43658184848652e-05,1,6,0,0.290777322571811,1,1
"ENSG00000146731",3.58634788876747e-05,0.0624580107303441,3,0,0.289474804656627,1,1
"ENSG00000102144",0.00834380819799431,0.00147390344755596,3,2,-0.286053716930483,1,1
"ENSG00000186594",0.00743397299032257,1,9,0,0.285714285714286,1,0.833333333333333
"ENSG00000167766",0.018980370146735,1,7,0,-0.285714285712892,1,0.666666666666667
"ENSG00000072682",5.97184934794032e-07,1,11,0,-0.285714186710201,1,0.833333333333333
"ENSG00000169660",0.0405125922056273,1,6,0,0.285712043838224,1,1
"ENSG00000135968",0.000809373171583179,1,9,0,0.285709998275141,1,1
"ENSG00000163584",4.10676622403433e-11,4.72062337053096e-07,4,1,-0.282290657734288,1,1
"ENSG00000114115",0.000537134538723825,0.0145423880030631,3,1,0.279615197281124,1,1
"ENSG00000137575",0.00741776527705654,0.0972479712347591,3,0,-0.277188371164378,1,1
"ENSG00000174243",4.9926971561312e-05,1,5,0,-0.275862153974796,1,1
"ENSG00000151327",0.00251276118107829,0.142673994999691,5,0,-0.275253310404033,1,1
"ENSG00000119979",0.0098564484403658,0.38481047633253,4,0,-0.275111912695151,1,1
"ENSG00000157873",0.00447446210459384,0.841022162848178,7,0,0.274781854911809,1,1
"ENSG00000159346",0.000214756709513834,0.241509168210535,4,0,-0.273966455892388,1,1
"ENSG00000113712",7.88338171105811e-21,0.147003995129689,11,0,-0.273809566590874,1,1
"ENSG00000153113",1.87613456838288e-05,0.00326199336919835,13,1,-0.273099538641997,1,0.833333333333333
"ENSG00000126581",0.00424902297942156,1,5,0,-0.272557972439393,1,1
"ENSG00000124570",0.0015286128764457,0.670919884981388,6,0,0.272052989463868,1,1
"ENSG00000150403",0.0020983984993838,1,6,0,-0.270777008149185,1,1
"ENSG00000171928",0.000104358311287801,1,3,0,0.270220902311478,1,1
"ENSG00000157601",1.08331445732032e-06,0.459967959167358,4,0,0.269713453553691,1,1
"ENSG00000163832",0.00512574542110094,1,5,0,0.269312931774499,1,0.833333333333333
"ENSG00000170638",0.0210997646727678,0.42689138489401,7,0,-0.26920595790339,1,0.833333333333333
