"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Cycling_basal_UK_72hpi_adult_Infected-Cycling_basal_uninfected_adult_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000026025"	"ENSG00000026025"	0.00995082877180691	0.0196015644981213	3	1	-0.567849034825678	1	0.833333333333333
"ENSG00000116212"	"ENSG00000116212"	0.00251276118107829	0.0204125528291924	7	1	-0.307622478829498	1	1
"ENSG00000146733"	"ENSG00000146733"	2.77298103619581e-06	0.0213820434935885	5	1	-0.825759611290249	1	0.833333333333333
"ENSG00000179134"	"ENSG00000179134"	0.00553305491596022	0.0218239313485719	4	1	0.426789537934711	1	1
"ENSG00000189077"	"ENSG00000189077"	0.0337345598178731	0.0222659211186337	4	1	0.597178384933977	1	1
"ENSG00000114638"	"ENSG00000114638"	0.00122514813867104	0.0226604344401656	3	1	-0.140195292417501	1	1
"ENSG00000178104"	"ENSG00000178104"	0.0121510112740668	0.0232727034930733	3	1	-0.781633403538302	0.833333333333333	0.666666666666667
"ENSG00000071539"	"ENSG00000071539"	0.00152081173820757	0.0249690280865198	5	1	-0.550419958940595	0.833333333333333	0.833333333333333
"ENSG00000115310"	"ENSG00000115310"	1.31812325578991e-17	0.0255314390286095	5	1	-0.377043566159804	1	1
"ENSG00000104388"	"ENSG00000104388"	2.24951021644538e-14	0.0257638245482749	3	1	0.988648983518599	1	0.5
"ENSG00000127554"	"ENSG00000127554"	0.0106006184428677	0.0284764914248121	3	1	0.813999917324616	0.833333333333333	0.666666666666667
"ENSG00000076554"	"ENSG00000076554"	1.1033883371025e-10	0.0298047556529771	6	1	-0.307205987796197	1	1
"ENSG00000115884"	"ENSG00000115884"	0.0480249586791704	0.031250221304747	4	1	0.351150738281055	1	1
"ENSG00000057935"	"ENSG00000057935"	0.00265683147550342	0.0320098074006731	3	1	0.543016489529083	0.833333333333333	0.833333333333333
"ENSG00000132254"	"ENSG00000132254"	1.16884810403508e-06	0.0321340784745624	7	1	-0.509803768920716	1	0.833333333333333
"ENSG00000197226"	"ENSG00000197226"	0.00987644258883576	0.032459348201363	5	1	0.566179038830468	1	0.833333333333333
"ENSG00000110328"	"ENSG00000110328"	0.00259278105144558	0.0329453400219258	3	1	0.497649363117379	1	1
"ENSG00000102854"	"ENSG00000102854"	3.39802338198648e-07	0.0330409144075921	9	1	-0.246258816686096	1	1
"ENSG00000104881"	"ENSG00000104881"	1.11015274253675e-05	0.0348959825245519	6	1	0.44969513647857	1	1
"ENSG00000137996"	"ENSG00000137996"	1.0335653916131e-05	0.0350218816619817	5	1	-0.478815808032253	1	1
"ENSG00000101940"	"ENSG00000101940"	1.49805995430483e-08	0.03515911359757	6	1	0.440287793696961	1	1
"ENSG00000136261"	"ENSG00000136261"	1.56489708892167e-06	0.0353120313183452	6	1	0.350932252811175	1	1
"ENSG00000074696"	"ENSG00000074696"	0.0264180331466884	0.0356408617554815	3	1	0.248871284809957	1	1
"ENSG00000163141"	"ENSG00000163141"	0.0459153123176222	0.0358619940929668	3	1	0.624996730165389	1	0.666666666666667
"ENSG00000143549"	"ENSG00000143549"	5.15863257009714e-11	0.0368967845570099	9	1	0.464158381081874	1	1
"ENSG00000128951"	"ENSG00000128951"	0.0015633703794785	0.037314248570826	4	1	-0.258940681701648	1	1
"ENSG00000084090"	"ENSG00000084090"	0.0476697061930208	0.0376923042764052	3	1	0.412634447842352	1	1
"ENSG00000147654"	"ENSG00000147654"	0.00953232394068123	0.0381064516647015	4	1	0.36865071154154	1	1
"ENSG00000187609"	"ENSG00000187609"	0.00565925003382417	0.0385283030075787	3	1	0.661413829408052	1	0.666666666666667
"ENSG00000162231"	"ENSG00000162231"	4.99214904064769e-05	0.0395409714110544	4	1	-0.521688691615123	1	0.666666666666667
"ENSG00000113282"	"ENSG00000113282"	0.00124854358044514	0.0408697519520332	5	1	0.417185621954408	1	0.833333333333333
"ENSG00000140416"	"ENSG00000140416"	0.019005595704571	0.0419736802226846	3	1	-0.459430423235472	1	1
"ENSG00000073578"	"ENSG00000073578"	3.56885498076465e-20	0.0434404797597413	6	1	-0.537633654506989	1	1
"ENSG00000064666"	"ENSG00000064666"	0.0170063125049692	0.0435586924309827	4	1	-0.291838070839457	1	1
"ENSG00000135925"	"ENSG00000135925"	6.32878525296066e-05	0.0447467332275398	5	1	-0.508719006484381	1	0.833333333333333
"ENSG00000079462"	"ENSG00000079462"	0.0430845542828985	0.0465048865245952	4	1	0.243031745089098	1	1
"ENSG00000158373"	"ENSG00000158373"	0.0299309798239483	0.0467691523952958	3	1	-0.337862553370121	1	0.833333333333333
"ENSG00000107521"	"ENSG00000107521"	0.00127670908450684	0.0494436182274823	6	1	0.453872861210461	1	0.833333333333333
